K_Value	Silhouette_Score	Davies_Bouldin_Score
265	0.227748	2.149230
266	0.238113	1.875181
267	0.238597	1.732429
268	0.239609	1.737549
269	0.240619	1.726219
270	0.240906	1.755280
271	0.241291	1.706619
272	0.241549	1.705777
273	0.232407	1.957313
274	0.237934	1.996473
275	0.242493	1.747934
276	0.242703	1.745228
277	0.242847	1.742865
278	0.242989	1.736413
279	0.243193	1.732537
280	0.243382	1.704999
281	0.243615	1.705791
282	0.243845	1.703932
283	0.244033	1.700648
284	0.243245	1.698363
285	0.243624	1.698700
286	0.243931	1.694307
287	0.244234	1.784198
288	0.244617	1.779682
289	0.245046	1.700754
290	0.245253	1.684147
291	0.245505	1.680984
292	0.245611	1.681476
293	0.246107	1.678539
294	0.246418	1.680420
295	0.246731	1.677477
296	0.247121	1.675182
297	0.247305	1.676659
298	0.247656	1.734535
299	0.247929	1.843880
300	0.242937	2.034112
301	0.247557	1.770383
302	0.248495	1.761389
303	0.248640	1.759748
304	0.248807	1.674463
305	0.249165	1.672480
306	0.249582	1.669336
307	0.249874	1.669590
308	0.250165	1.668931
309	0.250578	1.781333
310	0.250587	1.781320
311	0.250745	1.780578
312	0.251020	1.777987
313	0.251333	1.775937
314	0.251194	1.778573
315	0.251603	1.783273
316	0.251989	1.780614
317	0.252202	1.779571
318	0.252346	1.778251
319	0.252705	1.781847
320	0.252978	1.779522
321	0.253178	1.777853
322	0.253370	1.778446
-------------------------------------------------------
FINAL CONCLUSION:
Optimal K (Eigengap Method): 55
Optimal K (Highest Silhouette): 322
