Threshold,Branching_Factor,Time_Seconds,Clusters_Found,Silhouette_Score
0.1,25,64.59650993347168,55,0.12483442356577802
0.1,50,66.32843899726868,55,0.12355064701780195
0.1,100,66.73777103424072,55,0.12608875355502866
0.3,25,42.85706281661987,55,0.11481572526266053
0.3,50,41.47932577133179,55,0.11604710852983408
0.3,100,41.11399483680725,55,0.11549527365477265
0.5,25,18.177634239196777,55,0.01519348960373717
0.5,50,17.278251886367798,55,0.01789897055965098
0.5,100,15.393518209457397,55,0.10156353371745497
0.7,25,5.659135818481445,55,0.08094079555248151
0.7,50,4.523401975631714,55,0.0666787470066209
0.7,100,4.336164951324463,55,0.02721605204228984
0.9,25,0.5437271595001221,55,0.06542875489558765
0.9,50,0.6953039169311523,55,0.08419174474078678
0.9,100,0.7608709335327148,55,0.0844519074934292
